domain,topic,subtopic,difficulty,source_text
ml,Decision Trees,Pruning,medium,Explain the difference between pre-pruning and post-pruning in decision trees.
ml,Decision Trees,Categorical features,medium,"How do decision trees handle categorical variables with high cardinality, and what problem can this cause?"
ml,Decision Trees,Regression trees,medium,"How does a regression tree decide on splits, and what criterion replaces Gini/entropy?"
ml,Decision Trees,Bias-variance,medium,"Where do decision trees sit on the bias-variance tradeoff, and how does tree depth affect this?"
ml,Decision Trees,Missing values,medium,How can decision trees handle missing feature values during training and prediction?
ml,Decision Trees,Feature importance,medium,"How is feature importance computed in a decision tree, and what's a limitation of this measure?"
ml,Decision Trees,Comparison,easy,What are the main advantages and disadvantages of decision trees compared to linear models?
ml,SVM,Margin,easy,What is the maximum margin principle in Support Vector Machines?
ml,SVM,Support vectors,easy,"What are support vectors, and why do only they matter for defining the decision boundary?"
ml,SVM,Kernel trick,medium,Explain the kernel trick and why it allows SVMs to learn non-linear decision boundaries without explicitly computing high-dimensional features.
ml,SVM,Kernel trick,hard,Derive why the RBF kernel corresponds to an infinite-dimensional feature space.
ml,SVM,Soft margin,medium,"What is the role of the C parameter in soft-margin SVM, and how does it affect bias-variance tradeoff?"
ml,SVM,Dual formulation,hard,Why is the SVM optimization problem typically solved in its dual form rather than the primal form?
ml,SVM,Hinge loss,medium,"What is hinge loss, and how does it differ from log-loss used in logistic regression?"
ml,SVM,Multiclass,medium,"How can SVMs, which are inherently binary classifiers, be extended to multiclass problems?"
ml,SVM,Scaling,easy,Why is feature scaling important before training an SVM?
ml,SVM,Comparison,medium,"In what scenarios would you prefer SVM over logistic regression, and vice versa?"
ml,Ensemble Methods,Bagging,easy,"Explain how Bagging reduces variance, and why Random Forest is a specific case of it."
ml,Ensemble Methods,Random Forest,medium,How does Random Forest introduce additional randomness beyond bootstrap sampling used in bagging?
ml,Ensemble Methods,Boosting,medium,Explain the core idea behind boosting and how it differs fundamentally from bagging.
ml,Ensemble Methods,AdaBoost,medium,Walk through how AdaBoost updates sample weights after each weak learner.
ml,Ensemble Methods,Gradient Boosting,hard,Explain how Gradient Boosting fits new trees to the residuals/gradients of the loss function.
ml,Ensemble Methods,XGBoost,medium,What key optimizations does XGBoost add over standard gradient boosting?
ml,Ensemble Methods,Bias-variance,medium,How do bagging and boosting differently affect bias and variance of the final ensemble?
ml,Ensemble Methods,Stacking,medium,"Explain how stacking (stacked generalization) combines multiple base models, and what role the meta-learner plays."
ml,Ensemble Methods,Out-of-bag,medium,"What is out-of-bag (OOB) error in Random Forest, and why does it act as a free validation estimate?"
ml,Ensemble Methods,Overfitting,medium,"Can boosting overfit? Under what conditions, and how would you prevent it?"
ml,Clustering,K-Means,easy,"Explain the K-Means algorithm step by step, including how centroids are updated."
ml,Clustering,K-Means,medium,"Why is K-Means sensitive to initialization, and how does K-Means++ address this?"
ml,Clustering,K selection,medium,Describe the elbow method and silhouette score for choosing the number of clusters K.
ml,Clustering,K-Means limitations,medium,"What assumptions does K-Means make about cluster shape, and when does it fail?"
ml,Clustering,Hierarchical,medium,Explain the difference between agglomerative and divisive hierarchical clustering.
ml,Clustering,Linkage,medium,"Compare single-linkage, complete-linkage, and average-linkage in hierarchical clustering."
ml,Clustering,DBSCAN,medium,"Explain how DBSCAN defines clusters using core points, border points, and noise, and how it handles arbitrary cluster shapes."
ml,Clustering,DBSCAN,medium,"What are the eps and min_samples parameters in DBSCAN, and how do they affect clustering results?"
ml,Clustering,Evaluation,medium,How would you evaluate clustering quality when you don't have ground truth labels?
ml,Clustering,Comparison,medium,"When would you choose DBSCAN over K-Means, and what tradeoffs come with that choice?"
ml,Dimensionality Reduction,PCA,easy,Explain the intuition behind Principal Component Analysis and what the principal components represent.
ml,Dimensionality Reduction,PCA,medium,How are principal components computed using eigenvectors of the covariance matrix?
ml,Dimensionality Reduction,PCA,medium,Why is feature standardization important before applying PCA?
ml,Dimensionality Reduction,PCA,medium,How would you decide how many principal components to keep?
ml,Dimensionality Reduction,LDA,medium,How does Linear Discriminant Analysis differ from PCA in its objective?
ml,Dimensionality Reduction,t-SNE,medium,Explain how t-SNE preserves local structure when reducing dimensions for visualization.
ml,Dimensionality Reduction,t-SNE,hard,"Why can distances between clusters in a t-SNE plot be misleading, and what should you avoid concluding from them?"
ml,Dimensionality Reduction,Curse of dimensionality,medium,"What is the curse of dimensionality, and how does it affect distance-based algorithms like KNN?"
ml,Dimensionality Reduction,Feature selection vs extraction,easy,What's the difference between feature selection and feature extraction as dimensionality reduction strategies?
ml,Dimensionality Reduction,SVD,hard,How does Singular Value Decomposition relate to PCA?
ml,Model Evaluation,Confusion matrix,easy,"Explain precision, recall, and F1-score using a confusion matrix, and when each is most appropriate."
ml,Model Evaluation,ROC-AUC,medium,"What does the ROC curve plot, and how do you interpret AUC?"
ml,Model Evaluation,ROC vs PR,medium,When would you prefer a Precision-Recall curve over an ROC curve?
ml,Model Evaluation,Cross-validation,easy,Explain k-fold cross-validation and why it gives a more reliable performance estimate than a single train-test split.
ml,Model Evaluation,Stratified CV,medium,Why would you use stratified k-fold cross-validation instead of regular k-fold for a classification problem?
ml,Model Evaluation,Data leakage,medium,"What is data leakage in model evaluation, and give an example of how it can silently inflate performance metrics."
ml,Model Evaluation,Regression metrics,easy,"Compare MAE, MSE, and RMSE as regression evaluation metrics, and when you'd choose one over another."
ml,Model Evaluation,Class imbalance metrics,medium,"Why is accuracy a misleading metric for imbalanced classification problems, and what would you use instead?"
ml,Model Evaluation,Calibration,hard,"What does it mean for a classifier's predicted probabilities to be well-calibrated, and how would you check this?"
ml,Model Evaluation,Statistical significance,hard,How would you determine whether one model's performance improvement over another is statistically significant?
ml,Regularization,Bias-variance tradeoff,easy,Explain the bias-variance tradeoff and how it relates to underfitting and overfitting.
ml,Regularization,L1 vs L2,medium,"Compare L1 (Lasso) and L2 (Ridge) regularization, and explain why L1 tends to produce sparse solutions."
ml,Regularization,Elastic Net,medium,What problem does Elastic Net solve by combining L1 and L2 penalties?
ml,Regularization,Regularization strength,medium,How does increasing the regularization strength (lambda) affect model bias and variance?
ml,Regularization,Dropout,medium,"Even though dropout is a deep learning technique, explain the general regularization principle it embodies."
ml,Regularization,Early stopping,medium,How does early stopping act as a form of regularization?
ml,Regularization,Cross-validation for hyperparams,medium,How would you use cross-validation to select the optimal regularization strength for a model?
ml,Regularization,Ridge derivation,hard,Derive the closed-form solution for Ridge regression and explain why it's always invertible unlike plain OLS.
ml,Regularization,Overfitting signs,easy,What signs in training vs validation loss curves indicate that a model is overfitting?
ml,Regularization,Feature scaling,medium,Why is feature scaling important when applying L1/L2 regularization?
ml,Probability & Statistics,Bayes theorem,easy,State Bayes' theorem and explain how it underlies the Naive Bayes classifier.
ml,Probability & Statistics,Naive Bayes,medium,"Why is the 'naive' independence assumption in Naive Bayes often violated in practice, yet the classifier still performs well?"
ml,Probability & Statistics,MLE vs MAP,hard,Explain the difference between Maximum Likelihood Estimation and Maximum A Posteriori estimation.
ml,Probability & Statistics,Central Limit Theorem,medium,State the Central Limit Theorem and explain its practical relevance in machine learning and statistics.
ml,Probability & Statistics,p-values,medium,"What is a p-value, and what is a common misinterpretation of it?"
ml,Probability & Statistics,A/B testing,medium,"Design an A/B test to evaluate whether a new recommendation algorithm improves click-through rate, and describe how you'd determine significance."
ml,Probability & Statistics,Correlation vs causation,easy,"Why does correlation not imply causation, and how might this mislead feature selection?"
ml,Probability & Statistics,Expectation & variance,easy,"Define expectation and variance of a random variable, and explain how variance relates to model stability."
ml,Probability & Statistics,Sampling bias,medium,"What is sampling bias, and how could it affect a trained model's real-world performance?"
ml,Probability & Statistics,Distributions,medium,Why might you choose a Poisson distribution over a Normal distribution when modeling count data?
